title,category,article
すかいらーく賃金支払い1分単位に,経済, 外食大手のすかいらーくホールディングスがパートやアルバイトの賃金の支払いを5分単位から1分単位に変えることが分かった同社によるとこれまで5分未満の労働時間は切り捨ててきたがその分の賃金を過去2年分支払うという対象は約9万人で費用は計16億17億円を見込んでいる解説グラフロスジェネ単身女性の老後半数以上が生活保護レベル女性の非正規雇用割合は高く切実な問題に 同社は取材に対し5分単位の勤怠管理自体が違法である認識はないと回答7月から1分単位の支払いに切り替えるうえで円滑な移行及び従業員への配慮の観点からこれまで切り捨てていた分を支払うとした 同社はファミリーレストランガストバーミヤンなどを全国で約3100店舗展開している この問題をめぐっては同社のアルバイトの男性が全国一般東京東部労働組合に加入し切り捨てていた分の賃金を全従業員に支払うよう団体交渉で同社に求めてきた 労働基準法は賃金は全額を支払わなければならないと定めている厚生労働省の担当者は端数の時間を切り捨てることは認められないその分の賃金が支払われなければ違法となる可能性があると話す橋本拓樹上地兼太郎
ウクライナ 露の犯罪記録集発行へ,国際,7日 ロイター      ウクライナのゼレンスキー大統領は7日のビデオ演説で同国に侵攻したロシア軍の戦争犯罪の記録を集めた出版物を発行すると表明した動画これは私のものだ荷物を乗せて走るZ戦車略奪の証拠との指摘ウクライナ検察当局はロシア軍の戦争犯罪の容疑者として600人以上を特定しうち約80人の訴追手続きを始めたと明らかにしていいるゼレンスキー氏は特別出版物の題名はThe Book of Executioners死刑執行人の記録にするとしウクライナ人に対して紛れもない極悪犯罪を犯した具体的な個人に関する具体的事実があると語った
エンゼルス 球団ワースト13連敗,スポーツ,■Rソックス 6ー5 エンゼルス日本時間8日アナハイム エンゼルスの大谷翔平投手は7日日本時間8日本拠地のレッドソックス戦に2番指名打者で先発出場初回の第1打席で左中間二塁打を放ち4試合連続安打をマークした4打数1安打で打率242ジョーマドン監督が試合前に解任されたチームは延長10回に56で敗れ球団ワーストの13連敗となったフィルネビン監督代行は初陣を飾れなかった動画これは酷すぎるとファンも激怒 球審がボール判定したど真ん中に決まった160キロの直球 大谷は初回1死右腕ウィットロックから左中間二塁打を放った続くトラウトの先制14号2ランを演出連敗ストップへ幸先よくスタートを切ったがその後が続かなかった同点の9回2死二塁では申告敬遠で勝負を避けられた 大谷にとって良き理解者であるマドン監督が解任された全てが監督のせいという訳ではもちろんないですしむしろ自分自身の調子がこう上がらない申し訳ないというのはもちろんあるのでお世話になりましたし本当に感謝の気持ちはあります謝罪と感謝の思いを語っていた 主砲トラウトは3回の攻撃中に左股関節の張りで負傷交代した今後が心配されるまた大谷の次回登板は9日同10日の本拠地レッドソックス戦に決まった
黒田総裁 値上げ許容発言を撤回,経済, 日銀の黒田東彦総裁は8日の衆院財務金融委員会で批判を招いた家計が値上げを受け入れているという6日の講演での発言について表現は全く適切でなかったと述べ撤回した
客に罵声 PCサポート詐欺の実態,IT, インターネットの利用者を狙ったサポート詐欺と呼ばれる犯罪が今コロナ禍で急増している1年間の被害額が過去最大の3億9000万円悪質業者に接触しその手口の実態を取材した■“ニセ警告”パニックにサポート装い金詐取 大阪府に住む70代の男性去年の夏サポート詐欺の被害に遭った 被害者男性の娘30代ハッカーにハッキングされていますみたいな名前も住所も電話番号もすべて流出しますよみたいな表示が出たので父親がすごくパニックになって 離れて暮らす娘によると男性は突然の警告で冷静さを失ったまま画面に表示された“偽のサポートセンター”に電話したというすると 被害者男性の娘30代3年間のサポート代金として5万円分のギフトカードをコンビニで買ってきて下さいと要求されました 父親は指示通りにプリペイド式のギフトカードを購入相手にカード番号も伝えてしまった 被害者男性の娘30代必ずやらないとちゃんとあなたのパソコンを守れませんみたいな形ですごく急かしてくることはあったみたいです これでパソコンが直るかと思いきや偽業者はさらに番号の認証がうまくいかないなどとしてカードの買い直しを指示父親は結局25万円分をだまし取られてしまった 被害者男性の娘30代コロナ禍で家の中で過ごす時間が増えて父親自身もパソコンに慣れてきて色々なサイトを見てしまったのは原因にあると思います事前に親ですとか周囲の高齢者の方にも気を付けたほうがいいよと少し話してあげるだけで被害は食い止められたりするのかな■お客様バカニセの業者に連絡驚き音声 セキュリティ企業のトレンドマイクロ社によるとサポート詐欺などの不正サイトを検知した数は新型コロナが流行する前と比べて4倍以上に増加しているという 増え続けるサポート詐欺被害特殊詐欺対策の会社が実態を調査するため偽業者に電話すると驚きのやり取りがあった オペレーター問題を解決するために私の言う通りにやって下さい カタコトの日本語を話すオペレーターの女性高圧的な口調でパソコンの操作を指示する 調査員ちょっとまだ分からないんですけど 操作方法が分からないふりをすると オペレーターお客様私の時間を無駄にしないで下さい信じられないなら電話切っても大丈夫ですパソコンをゴミ箱に捨てて下さい オペレーターは突然罵声を浴びせ始めた 調査員一緒に直してもらえないですか家に来てもらって オペレーターないですないですないですないです その後もオペレーターの指示に従わないでいると オペレーターお客様はバカですか頭がないんですか今問題を解決しないとパソコン全部無駄になります真っ黒になります 罵声を浴びせ続けた挙句最後にはこんな捨て台詞まで オペレーターじゃバカな方だから電話切りまーす■悪質業者と“直接対決”名前はデビッド サポート詐欺のさらなる手口の実態を探るべくトレンドマイクロ社の協力のもとサポート詐欺サイトに接触した 画面を覆うように現れたニセの警告画面 トレンドマイクロ社担当者パソコンにセキュリティー上の問題があるかのように警告メッセージを何個も上げて訪問者を驚かせる狙いがある さらに別のサイトにアクセスしてみた パソコン音声あなたのPCはダイニーバンクトロイアンに感染しています ウイルスに感染していますというアナウンスが流れました パソコン音声フリーダイヤルで当社に今すぐお電話下さいお電話でウイルスの削除方法をお教えします ウイルスに感染しているなどうその情報を流し偽のサポート窓口に電話をするよう求めるメッセージが表示された こうした偽の窓口に電話をするとどうなるのか つながり電話は鳴るが出ない一度電話を切ると次の瞬間電話が非通知で掛かってきた オペレーターマイクロソフトのテクニカルサポートセンターでございますQ名前聞いてもいいですかお客様デビッドですデビッドと申します 非通知で折り返してきたのはマイクロソフトのデビッドを名乗る男性カタコトの日本語でサポートの説明を始める デビッド問題を解決するために一番最初には遠隔操作するのが必要なんですよろしいですかQデビッドさんが遠隔操作するということですかそうですねこちらに遠隔操作してもし何かね問題があったらねセキュリティーを入れ直しますので パソコンの状態を確認するため遠隔操作用のソフトをダウンロードするよう指示した デビッド私が言う通り入力して下さいwwwユナイテッドのu次はロシアのrドット名古屋のn今お客様のパソコンは弊社の安全サーバーとつながっていますだからパソコン触らないで下さい 遠隔操作を始めた自称デビッドはセキュリティーが無効になっているなどとうその説明を重ねていく デビッドセキュリティーの有効化のためにお客様そちら見て下さいお金はかかります 遠隔操作された画面上には偽のサポートプランが示されローマ字で1年間で3万円2年間で5万円などと書かれていた 支払い方法として指定されたのはここでもプリペイド式のギフトカードだった■“自称デビッド”先輩に交代1も詐欺なし デビッドQこれ詐欺じゃないですかそういうことはないですお客様心配しないで下さいQ本当にマイクロソフトのサポートセンターですかそうですお客様 消費者庁によるとマイクロソフト社が突然画面上に警告を流し電話を掛けるよう求めることは一切ないという デビッドお客様のパソコンは安全になります分かりますかQそれって証明できますかQもしもしもしもし少々お待ち下さい私は電話を代わります分かりますかQ誰に代わるんですかセンパイにセンパイに 慌てた様子で先輩に電話を代わると言い出した自称デビットしばらく待っていると オペレーターお待たせしてありがとうございました電話を代わりましたQ名前は何というんですかロビーセモンです 男性は先輩のロビーを名乗る ロビーこれはねお客様世界で一番安全とか一番すごいセキュリティーなんですQ本当ですか詐欺じゃないですかいえいえ1でもそういうことはない あくまでも詐欺ではないと言い張る一方態度に変化があった ロビー申し訳ないんだけど本当にね時間が大変なんですから今から電話切りますねはいありがとうございましたー 取材班が再度偽のサポート窓口に電話を掛け直してみた ロビーQテレビ朝日なんですけどサポート詐欺の取材をしていまして話をするために電話を掛けているんですQもしもしはいQ皆さんのやっていること明らかにサポートをしますと言っておきながら画面を操作してちょっと聞きたいんですけどどういう件で電話を掛けたんですかQ皆さんのやっていることが詐欺かどうかちょっと関係ないと思いますので切りますねすみませーん 後日改めて接触を試みると同じ番号にはつながらなくなっていた羽鳥慎一 モーニングショー2022年6月8日放送分より
BTS兵役問題 韓国世論の支持は,エンタメ, 5月末に米ホワイトハウスを訪問10日にはニューアルバム発売を控えるBTSだが韓国国内では困難な事態を抱える兵役特例を巡る問題だAERA 2022年6月13日号の記事から写真蜷川実花が撮ったAERA表紙を飾ったBTS
自動ブレーキ 過度な依存に警鐘,経済, 岡山県総社市で4人が乗用車にはねられ女児ら2人が一時重体になった事故で運転していた男の判決公判が9日行われる事故は男の居眠りが原因とされる一方車には自動ブレーキが搭載されていたことが県警の捜査でわかっている自動ブレーキを装備しながら事故を防げなかったことに疑問が湧くが条件次第で作動しないこともあり専門家は過度な依存に警鐘を鳴らす下林瑛典写真2021年11月4日岡山県総社市で事故現場を調べる捜査員
給付金詐欺 確保の男は農家暮らし,地域,新型コロナ対策の持続化給付金を10億円近くだまし取ったとされ指名手配中にインドネシアで身柄を確保された谷口光弘容疑者47の逃亡先での様子が明らかになってきた画像谷口容疑者はインドネシアで農家暮らし記者会見には容疑者の姿が画像16枚谷口容疑者は昨夜スマトラ島南部のランプン州でインドネシア警察当局に逮捕されたが取材によると現地では農家の人たちと一緒に一軒家で暮らしていたという逮捕されるまでの15日間をその家で潜伏していたとのこと逮捕容疑は入管法違反で不法滞在の疑いとみられる谷口容疑者は元妻の梨恵容疑者45と大祈容疑者22ら息子2人とともにおととし新型コロナの影響で売り上げが減った個人事業者を装い持続化給付金300万円をだまし取った疑いが持たれている谷口容疑者らは家族4人で給付金詐欺を繰り返し被害はおよそ10億円にのぼるとみられ利恵容疑者と息子2人は先月逮捕された谷口容疑者はおととしインドネシアに出国していて警視庁が指名手配していた谷口容疑者をめぐっては警視庁による逮捕状を受け外務省が去年4月旅券返納命令を出していたすでに谷口容疑者の旅券は失効しインドネシアでは不法滞在の状態だったとみられる今後インドネシアの当局との間で身柄の引き渡しについて調整が行われる予定一方8日午後インドネシア警察当局が今回の逮捕について記者会見を行った日本の大使館関係者も同席する中会見場には谷口容疑者の姿も見られた終始後ろ姿で日本の取材陣からの声かけには何も答えなかった
BTS兵役問題 背景に男女対立も,エンタメ, 5月末に米ホワイトハウスを訪問10日にはニューアルバム発売を控えるBTSだが韓国国内では困難な事態を抱える兵役特例を巡る問題だAERA 2022年6月13日号の記事から写真蜷川実花が撮ったAERA表紙を飾ったBTS
米CDCサル痘にレベル2の渡航勧告,科学,CNN 米疾病対策センターCDCは天然痘に似た感染症サル痘の感染拡大を受け3段階で2番目のレベル2の渡航勧告を出して警戒を強めるよう促した画像サル痘の患者の手のひらCDCは一般の人にとってのリスクは低いとしながらも原因不明の発疹体のどの部分にもできるの症状が新たに現れた場合は発熱や悪寒があってもなくてもすぐに医師の診察を受けるよう勧告しているCDCの渡航勧告は渡航先の感染状況に応じて以下の3段階に分類される注意――レベル1通常の注意警戒――レベル2注意強化警告――レベル3不要不急の渡航自粛ただしCDCの公式サイトでは新型コロナウイルスのように渡航先ごとの警戒レベルの分類は行っていないレベル2の勧告でCDCが渡航者に呼びかけている対策は以下の通り皮膚や性器に発疹があるなど症状がある人との濃厚接触を避ける生きた野生動物や死骸との接触を避ける狩猟肉の摂取や調理アフリカ産の野生動物を原料とするクリームやローションといった製品の使用を避ける病人が使用した衣類や寝具などの使用を避けるCDCによるとサル痘の症例は6日までに欧州北米南米北アフリカ中東オーストラリアで報告されている英国スペインポルトガルで報告された症例はそれぞれ100例を超えている
