title,category,article
J1清水、新監督にゼ・リカルド氏,スポーツ, J1清水エスパルスは6月7日新監督としてゼリカルド氏が就任すると発表したゼリカルド氏は清水エスパルスの監督のオファーをいただき 大変嬉しく光栄に思っていますとコメントしている写真権田修一”妻”なでしこ田中陽子との偽家族写真を公開 タレントも驚き嫁かと思った笑笑 清水は今季リーグ戦で2勝7分7敗の16位と低空飛行が続きシーズン途中に平岡宏章監督と双方合意のうえで契約解除そんななかゼリカルド氏が新監督として采配を振るうことが決まったゼリカルド氏は母国のフラメンゴやヴァスコダガマをはじめカタールSCなどでも監督として指揮した経験を持つゼリカルド氏のコメントこのたび清水エスパルスの監督のオファーをいただき大変嬉しく光栄に思っていますそして我々コーチングスタッフはクラブ首脳陣パートナーの方々の厚い信頼によってとても重要な任務に就くことに対し感謝いたします日本サッカー界において極めて伝統のあるクラブのユニフォームを守っていくということはとても重要であり大きな名誉です一日も早く選手たちやサポーターの皆さんに会うことができるのを楽しみにしています共に力強くこの道のりを歩んでいけるものと信じています GO SPULSE
横澤夏子 2035年見据え仕事断る,エンタメ, コロナ禍で2児を出産し復帰から3カ月既に生放送のテレビ番組やCMでも活躍している芸人横澤夏子さん31はどうやって仕事と家事育児を両立しているのか会社員の夫と保育園ベビーシッターを頼りに復帰後も7時半消灯を続けているというメンタルがえぐられるつらさも飲み込んで前に進む心の支えになっている計画とは画像SNSで人気横澤夏子さんのリアル今日の連絡帳
ソニー元会長・出井伸之さん死去,経済, ソニーで10年間にわたって社長や会長兼CEO最高経営責任者を務めた出井伸之いでいのぶゆきさんが2日肝不全のため死去した84歳だった葬儀は近親者のみで営まれた後日しのぶ会を開く予定喪主は妻晃代てるよさん2022年に亡くなった方々海部俊樹さん水島新司さん 東京都生まれ早稲田大政治経済学部を卒業し1960年にソニーに入社ホームビデオ事業や広告宣伝の本部長などを歴任し95年に社長に就任した同社が培ってきたAV技術をベースにIT関連を強化する事業戦略を採用パソコンのバイオなどヒット商品を育てた 一方97年には企業経営で執行と監督を切り分ける執行役員制度をいち早く導入するなど企業統治の面で先駆的な取り組みを行った2000年には政府のIT戦略会議首相の諮問機関の議長も務めた ソニーでは00年に会長兼CEOに就任05年にはテレビなど主力のエレクトロニクス部門が不振に陥る中最高顧問に退いた後任の会長兼CEOには同社で初の外国人トップハワードストリンガー氏英国出身が就任するなど経営の一線を退く時まで話題を集め続けた
2児育てる横澤夏子 仕事断る焦り,エンタメ, コロナ禍で2児を出産し復帰から3カ月既に生放送のテレビ番組やCMでも活躍している芸人横澤夏子さん31はどうやって仕事と家事育児を両立しているのか会社員の夫と保育園ベビーシッターを頼りに復帰後も7時半消灯を続けているというメンタルがえぐられるつらさも飲み込んで前に進む心の支えになっている計画とは画像SNSで人気横澤夏子さんのリアル今日の連絡帳
製鉄所で露と戦い捕虜 2500人超か,国際, ウクライナのゼレンスキー大統領は6日南東部マリウポリの製鉄所アゾフスターリでロシア軍と戦った後捕虜になってロシア側支配地域に移送されたウクライナ兵が2500人以上いる可能性を明らかにしたウクライナ国防省がロシア側と捕虜交換の交渉を続けており生きて家に帰すことが目標と語った解説画像アゾフスターリにある地下シェルターの見取り図湿度の高い空間に人が密集していた 一方ロシア軍は同製鉄所で見つかった数十人分の遺体を引き渡したAP通信が報じた製鉄所で死亡したウクライナ兵の可能性があり身元特定のため首都キーウキエフに運びDNA鑑定を行うという
ソニー元社長・出井伸之さん死去,経済, ソニー現ソニーグループの社長や会長を歴任した出井伸之いでいのぶゆき氏が2日東京都内の病院で死去した写真特集追悼 2022宮崎蕗苳さんギャスパーウリエルさん水島新司さん ソニーグループが7日発表した84歳だった東京都出身葬儀は近親者で済ませた後日しのぶ会を開く2000年から05年まで会長兼最高経営責任者CEOを務め経営の多角化を進めた 早大政経卒1960年にソニーに入社し95年社長就任社長在任中音響映像AV機器とITの融合を目指してデジタルドリームキッズをスローガンに掲げ96年に家庭用パソコンVAIOバイオを発売映画音楽事業を拡大させたほかインターネット銀行に参入するなど金融事業にも注力した しかし競争激化により薄型テレビなどは不振が続き主力の電機事業は低迷05年に業績不振の責任を取る形で退任した出井氏が手掛けたパソコン事業も14年に売却された 経営の監督と執行の分離を目的とした執行役員制の導入や委員会等設置会社への移行など企業統治体制の確立にも尽力した 欧州駐在が長い国際派として知られ米自動車大手ゼネラルモーターズGMの社外取締役を務めたほか世界経済フォーラム年次総会ダボス会議にも出席した 一方早くからインターネットの重要性に着目00年には政府のIT戦略会議議長に就任しブロードバンド構想を推し進めたソニー退任後は企業変革を支援するクオンタムリープ東京を設立しベンチャー企業の育成も手掛けた 
PS5 普及を阻む「悪循環の連鎖」,経済, ソニーインタラクティブエンタテインメント以下SIEは2020年11月にPlayStation 5以下PS5を発売しました性能を活かした処理能力の高さやSSD採用によるロード時間の短縮PlayStation 4ソフトとの互換性など多彩な魅力にあふれた新たなゲーム機として多くのユーザーから注目を集めました画像PS5買えたらプレイしたい 名作ソフトたち14枚 ですがどれだけ人気の高いゲーム機であっても即座に普及するわけではありません特に発売直後は供給を大きく上回る需要が集まる場合が多く入荷即売り切れになりがちです 新型ゲーム機が登場するたび発売からしばらく経つまで入手難が続くのはゲームファンにとってお馴染みの光景ですがPS5の場合は発売から1年半が過ぎてもなお入手難が続いておりこれだけの長期間にわたるケースは珍しい事態です ゲーム機が普及しなければゲームソフトの売上も伸びませんそのためSIEとしても出来るだけ早くPS5の需要を満たしたいはずまた欲しているユーザーも少しでも早く手に入れたいに違いありません しかしこうした願いの実現を阻むいくつかの問題が今のPS5を取り巻いています果たしてどんな難敵がPS5普及を阻んでいるのでしょうか●SIEは2022年にPS5増産を掲げるが PS5の供給が不足した背景には新型コロナウイルス感染症COVID‐19の影響が大きくあります2019年12月の第1例目報告からわずか数ヶ月で世界的に広がり日常の行動やビジネス面に大きな制限が加わりました その影響から部品を含めた生産工場が十分に稼働できない時期があり需要に応えるだけのPS5を用意できない状態が現時点まで続いていますしかも半導体不足は未だにニュースで報じられるほどで抜本的な解消にはまだ時間がかかる見通しです ソニーグループが5月26日に行った事業説明会にてSIE社長兼CEOのジムライアン氏が部品不足は改善しつつある2022年はPS5の生産を増やすと発言していますが事態の即解消とは告げていないためユーザーが改善を実感するのはもう少し先になりそうです●転売横行エンドユーザーの手に渡らず PS5の生産量が伸び悩んでいるのは確かですが出荷した台数の全てがエンドユーザーの手に渡っていない点も見逃せない問題点のひとつ購入する理由はさまざまですが近年特に問題になっているのは転売目的の購入です 転売自体は違法ではありませんが転売屋がPS5を在庫として抱えれば抱えるほどその分だけユーザーが買えず結果としてPS5の普及が遅れますまた転売ばかり横行し正規の価格で買えないと感じたユーザーがPS5への興味を失う可能性もありこの状況自体が普及の足枷になりかねません ゲーム機の転売は昔からありましたがスマホの普及やフリマアプリの導入により転売行為自体のハードルが以前と比べて下がりましたまたスマホで手軽に情報に触れられるためそうしたやりやすさから転売が広がった面も否定できませんこうした形からPS5に限らずさまざまな転売が横行し広く問題となっています
値上げ許容発言 黒田総裁が釈明,経済,日銀の黒田総裁がきのう日本の家計の値上げ許容度も高まってきていると発言したことに波紋が広がっています黒田総裁はさきほど国会で強調しすぎたかもしれないなどと釈明しました参議院の財政金融委員会で野党側はきのうの日銀の黒田総裁の発言について誤ったメッセージだと反発しました日銀 黒田東彦総裁我々が値上げ許容度と言ってきたものとぴったり合うかどうかっていうのは議論のあるところだとは思いますややその強調しすぎたかもしれません黒田総裁は値上げ許容度という言い方については議論がある強調しすぎたかもしれない批判を甘受したいなどと釈明しました一方松野官房長官は黒田総裁の発言についてコメントは控えるとしましたが物価高騰について景気の下振れリスクには十分注意をする必要があると強調しました
プール排水口の吸引力 難しい救出,科学, 水に溺れることを溺水できすいといいます事故の中でも溺水は大きな課題となっています世界では少なくとも年間約23万6000人が死亡している溺水は Silent and Preventable Killer 静かにそして予防可能なキラーであるとされ国際連合の第75回総会において溺水予防に関する決議が採択されましたこの決議によって国連総会は加盟国に対し溺水予防に向けて自発的に行動を起こし国の窓口を設けるように奨励していますそして毎年7月25日を World Drowning Prevention Day世界溺水防止デーに制定しました
稲垣啓太 新婚生活と海外への挑戦,スポーツ,笑わない男がうっすらと微笑みを浮かべたように見えた5月29日日東京国立競技場で今季から新たに始まったラグビーのリーグワンのファイナルが行われ日本代表PR稲垣啓太32歳が所属する埼玉パナソニック ワイルドナイツが東京サントリーサンゴリアスを1812で下して初代王者に輝いたPR稲垣は消耗の激しいポジションながらケガ人の関係もあり80分間フル出場し体を張ってタイトル奪取に大きく貢献した画像稲垣と結婚した貴子さんの美しすぎる一枚優勝後記念Tシャツに袖を通した稲垣はチームメイトとともにバックスタンドに向かって挨拶したそこには選手たちの家族がおり当然1月26日に結婚したばかりの稲垣の新妻世界で活躍するモデルの新井貴子さん31歳の姿もあった貴子さんはワイルドナイツの青いベースボールシャツを着て応援していたという16試合中15試合に出場した稲垣は今季も監督キャプテンメディアファンによって選ばれるベスト15に選ばれた新人から8シーズン連続の受賞は唯一の快挙である決勝の翌日に開かれた年間表彰式リーグワンアワードで額を赤くしていた稲垣はチームスポーツでありながら個人のタイトルを得られるのは嬉しいこの賞をとってより一層トレーニングに励みたいと話したさらに女性の司会者からシーズン中にご結婚されました心境の変化はと聞かれて少し戸惑いながらも妻とよく話すことはまずお互いのことをしっかりやった上で余裕ができたときにお互いのことをサポートすればいいんじゃないかということですどちらかがやりたいことをやらずにどちらか一方をサポートし続けるのはもったいないと思うお互いがやりたいことをやろうと話している中で妻は空いている時間で僕をたくさん支援サポートしてくれました新しい家族妻に感謝したいと思いますという言葉で締めた2019年W杯後NZ豪州欧州から誘われていたその言葉通り結婚しても稲垣は決してラグビーに手を抜くことはなかった東京に新居を構えた稲垣だったが埼玉ワイルドナイツの練習グラウンドは熊谷にあるただ今季新しくできた練習グランドの横にはホテルも新設されたため従業員に稲垣選手はほぼ住んでいますと言われるほどどうやら週の半分くらいホテル住まいをしながら練習に精を出していた稲垣が今僕はラグビーでお金をいただいて生活しているファンの方々が足を運んでくださってお金を払ってチケットを買ってくださって来てくれるだからお金を払って見に来てくださった方に満足していただけるような試合をしなければいけないパフォーマンスをしなければいけないそれが選手の責任だと思うと話す仕事観と重なるそんな中でもお互いがやりたいことをやろうと話している稲垣と貴子さんは夫妻でジュエリーブランドHPole アッシュポールを立ち上げた4月には伊勢丹新宿店で期間限定販売も行ったラグビー日本代表のおしゃれ番長稲垣とパリコレ出演歴のある貴子さんの共通の話題は当然ファッションだったことは容易に想像できるそんな稲垣はリーグワンのアワードで日本代表に対する提言もしていた南半球のプロリーグスーパーラグビーに参戦するため2020年まで日本で結成されていたサンウルブズがなくなり今季海外でプレーしていた日本代表はFB松島幸太朗フランスクレルモン1人のみとなったただ松島は今季終了後日本に戻る決断をしたため来季海外でプレーする日本人はゼロとなる2015年にはオーストラリアのレベルズでもプレーした稲垣は日本代表は現在マックスでテストマッチは年間多くても7試合2020年にサンウルブズがなくなった今それで海外との差が埋まるんですかね 新しい選手も出てこないし世界相手に試す場が少ない何かやり方を変える必要があると思っていますサンウルブズがなくなった今個々のレベルを上げるためにみんなもっと海外に出ることも考えてもいいんじゃないですかねと話した7年ほど前日本代表のフランス人スクラムコーチは稲垣に関して今でも欧州で通用すると断言していたオーストラリアのレベルズで1年間プレーした後は3シーズンの契約延長のオファーがあったが諸事情で断念さらに2019年ワールドカップの活躍後稲垣にはオーストラリアニュージーランド欧州の多数のプロチームから誘いがあっただがサンウルブズの存在があったために断ったという2023年のフランスワールドカップでの目標を聞かれて稲垣は優勝したいですねとキッパリと断言したもちろん僕は今でも海外でプレーしたい欧州はずっと行きたいと思っていると海外志向も強いままであるもしかしたら2023年のワールドカップ後はジュエリーブランドを海外展開しながらパリやロンドンで貴子さんとともに世界を舞台に活躍する姿が見られるかもしれない
井上尚弥 ドネアに完全決着なるか,スポーツ,プロボクシングのWBAスーパーIBF世界バンタム級王者の井上尚弥29大橋とWBC世界同級王者ノニトドネア39の3団体統一戦7日さいたまスーパーアリーナの前日計量が6日横浜市内のホテルで行われ井上がリミットの535キロドネアが100グラムアンダーの534キロで一発クリア新型コロナ検査も陰性でいよいよ午後9時過ぎ予定のゴングを待つだけとなった試合は公開採点で行われ紛らわしいジャッジを防止するためにインスタントリプレーが導入されることになったまた井上はプロ23戦目にして初めてパンチャーに有利とされる拳の薄いメキシコ製レイジェスのグローブを使用する世紀の再戦を制するのはどっちだ
餓死した5歳児 食事抜き23日間,地域, 餓死した5歳児は骨と皮だけの老人のように見えたという保護責任者遺棄致死罪に問われた碇利恵被告40の裁判員裁判初公判で検察は食事をほとんど与えられず痩せ衰えていく三男の翔士郎ちゃんの様子を克明に指摘したママ友の赤堀恵美子被告49の作り話を信じ愛するわが子を死に追いやったとされる碇被告は両目からあふれる涙を白いハンカチで何度も拭った法廷イラスト母は涙も自責の念から食事十分に食べられず 3月211日 食事抜き 4月6日 イワシ1匹半 4月17日 菓子あめ玉おかゆ茶わん半分 検察は公判で三男が死亡した2020年4月18日までの48日間の食事内容を詳細に説明した自宅のごみなどから特定したという 48日中食事抜きは23日間食事を取った25日間の1日当たりの摂取カロリーはわずか約40キロカロリーだったという5歳児の必要量は1300キロカロリーとされる
「脱一律」の新卒採用 年収保証も,経済, 2023年4月入社の新卒採用面接が6月1日に解禁された企業は採用段階から配属先を約束するなどその能力を早くから発揮できるように工夫を凝らしている新卒採用でも専門性の高い人材を獲得しようとするもので脱一律の姿勢が一層強まっている表新卒脱一律の主な取り組み
円周率を記した本が好評 作者驚き,経済,どうしてここまで売れるのか大変不思議なのですが こう語るのは無限に続く円周率を延々と記しただけの本円周率1000000桁表暗黒通信団を執筆した牧野貴樹さん同書は1996年の初版以降増刷を重ね累計販売冊数は4万部に迫る勢いだ一見用途不明の本が密かなロングセラーになった理由とは写真本の中身■使い道が知りたいツイッターで話題 円周率とは円の直径に対する円周の長さの比率のこと日本では小学5年生の算数から登場する3から始まり以降14159と果てしなく続くが小学校では近似値の314中学校以降の数学ではπで表される 何かと省かれがちな円周率そこに光を当てたのが円周率1000000桁表だその名の通り3から始まる円周率を1ページあたり1万桁合計100万桁分載せたもので価格は円周率にちなんで314円税抜きECサイトや全国の書店で購入できる 2022年5月下旬ツイッター上でこの本を買ったというユーザーの投稿が拡散され狂気イカれてる使い道が知りたいなどと注目を集めた巻末のQAに記載されたただの事実の羅列なので著作権はないという説明書きも話題を呼んだ 本の出版は人気ゲームポケットモンスターやたまごっちが発売された96年コミックマーケットなどで自主制作本を販売する同人サークル暗黒通信団から出版された執筆者の牧野さんは当時大学生円周率に興味があり円周率を計算するプログラムを書いていた22年6月1日JCASTニュースの取材に本の出版経緯をこう語るサークルのメンバーからコミケに出す新刊がなにかないかと聞かれたのでそういえば円周率ならあるけどといって第1版はレーザープリンタで印刷して手製本の形でコミケで30冊販売しました 初めて売り出したコミケ5196年冬で好評を博した本は第2刷では300冊に増やしコミケと都内の一部書店で販売本来はここで販売終了予定だったがなぜか何年経っても書店からの客注が入り続けるのでそれだけ需要があるならと重刷することになりましたと牧野さんは振り返る
ロッカーから赤ちゃん遺体 北海道,地域, 6月7日朝北海道千歳市のJR千歳駅のコインロッカーから赤ちゃんの遺体が見つかりました 7日午前8時30分ごろ管理会社の職員がコインロッカーを開けたところクーラーボックスがあり中に赤ちゃんの遺体を見つけ駅前の交番に届け出ました 性別はまだわかっていません ロッカーは数日前から使用されていたということで警察で状況を詳しく調べています
政府7年ぶり 夏の節電要請決定,国内, 政府は7日家庭や企業に対し今夏の節電を要請した老朽火力発電所の休廃止の増加や3月の福島県沖地震の影響で電力の供給余力が乏しいため政府による節電要請は2015年以来7年ぶり期間は7月1日9月30日特に太陽光発電の出力が減り電力需給が厳しくなる午後58時ごろの節電を呼びかける写真3月の節電要請で灯りが消えた東京タワー 松野博一官房長官は会合で国民の皆様には今年の夏は全国で生活や経済活動に支障がないようできる限りの節電省エネへのご協力をお願いいたしますと述べた萩生田光一経済産業相は7日の閣議後記者会見で室内温度を28度にしたり不要な照明は消したりするなど節電省エネしていただきたいと呼びかけた家庭では室内温度を28度にすると26度と比べ6の節電効果が見込めるというオフィスビルではブラインドなどを活用して日照を遮ることで34学校では教室などの照明を間引きすることで87の節電効果があるという 政府は休止中の老朽火力発電を改めて運転させるなどして不測の事態に備え供給力確保も進める数値目標は設けないウクライナ情勢を受けて資源調達の不確実性が高まっていることもあり家庭や企業に早めに需給逼迫ひっぱくを伝える注意報を新設して対応を促す ピーク時の電力需要に対する供給余力を示す供給予備率は電力の安定供給に最低3が必要とされる経産省によると中部東京東北電力管内の7月の供給予備率は31にとどまり安定供給に懸念が残る北陸関西中国四国九州電力管内も38にとどまる見通し89月も北海道沖縄電力管内を除き5前後の低水準で推移する 電力需給を巡っては11年の東電福島第1原発事故後原発の長期停止で供給力が激減冷暖房利用で電力使用量が多い夏や冬は需給バランスが崩れる恐れがあったため政府は15年度まで家庭や企業に対して節電要請を繰り返したその後は節電意識の定着や火力発電などの供給増で需給が緩和したため節電要請を見送っていた遠藤修平村尾哲
Mac軒並み値上げに「円安怖い」,IT, 米Appleが6月6日現地時間に開催した開発者会議WWDC22にて新型MacBook Airと新型MacBook Proを発表したが販売価格に大きな変化が見られた昨今の円安を反映してかApple StoreのMacの価格が全体的に値上げされている画像Apple M1搭載の旧モデルも値上げ 新モデルの場合Apple M2を搭載したMacBook Airは米国だと1199ドルスタートだが日本では16万4800円から税別価格で計算した場合1ドルあたり約125円の為替レート税込だと1ドルあたり約137円が適用されることになる従来のApple M1搭載モデルも併売するがこれまで11万5280円だったスタート価格は13万4800円に引き上げられた米国では999ドルに値下げ 既存モデルも値上げされている例えばMacBook Pro 14インチのスタート価格は2021年10月の発表時で23万9800円だったが7日からは27万4800円に16インチは29万9800円から33万8800円に価格が変更されているMac StudioもM1 Maxモデルが24万9800円からM1 Ultraモデルが49万9800円からだったがそれぞれ27万8800円55万8800円に引き上げられた 予告無しでの突然の値上げでAppleファンには動揺の声が広がったTwitterなどでは円安怖い円安の影響受けすぎでしょ先に買った人が優勝じゃん去年買ったMacBook Proが4万くらい値上がりしてるといったコメントがあった一方で値上げがまだ反映されていない家電量販店などのECサイトで急きょ購入したという報告も幾つか見受けられた なおiPhoneやiPadの価格は今のところ変更が見られないもののどこかのタイミングで価格改定が入る可能性が高い円安傾向が今後も続けば例年秋ごろに発表される新型iPhoneの国内価格にも影響を及ぼしそうだ
ステージ4のがん 坂本龍一の闘病,エンタメ, 音楽家の坂本龍一70が直腸ガンおよび転移巣の手術を受けたことを発表したのは昨年1月のことだった2014年に患った中咽頭ガンはその時点で寛解していたが2020年に新たにガンが発見されたのだというもっとも当時のコメントにはすばらしい先生方との出会いもあり無事手術を終えて現在は治療に励んでいますとありさらに治療を受けながら出来る範囲で仕事を続けていくつもりですと仕事への前向きな姿勢を示していた多くのファンは心配しつつも安堵したことだろう しかし実際の病状はこうした前向きなコメントからは想像できないほど深刻なものだったようだ診察した医師の口からは余命半年といった衝撃的な言葉まで飛び出していたのである 文芸誌新潮7月号から坂本が開始した連載ぼくはあと何回満月を見るだろうにはこの間の経緯や心境が本人から詳しく語られている以下引用しながら見てみよう
ウクライナ侵攻 性暴力疑い124件,国際,ロシアによるウクライナ侵攻をめぐって開かれた国連安全保障理事会の会合で性的暴力が疑われる事案が124件にのぼっていることが明らかになりました動画女性がレイプされ のど切られロシア軍撤退後のキーウ近郊マカリウへ 占領時の状況は国連パッテン事務総長特別代表国連人権高等弁務官事務所の人権監視チームは性的暴力の疑いがある報告を124件受け取っています国連のパッテン事務総長特別代表によると今月3日までにキーウ州やハルキウ州などウクライナ各地からレイプや脅迫などの性的暴力が疑われる事案が124件報告されましたうち49件が子どもに対するものだということです報告を受けアメリカを始め各国からはロシアに対して非難の声が相次ぎましたロシアのネベンジャ国連大使はロシアの性的犯罪を告発することは西側諸国のお気に入りの戦術だと主張した上でうそを全面的に非難すると性的暴力を否定しています
iOS16 ロック画面をカスタマイズ,IT,アップルは7日開発者向けのイベントWWDC世界開発者会議を開催しiOS 16を発表したロック画面が大きく進化しデザインや表示するウィジェットのカスタマイズ複数のロック画面を使い分ける事ができるようになるほか音楽再生パネルもより高機能になるiOS 16は今秋iPhone 8以降を対象に提供されるこの記事に関する別の画像を見るiOS 16ではロック画面が大きく進化ロック画面に指定している写真の表示位置を調整したり写真や時計表示などに異なるフィルター効果をかけたデザインに切り替えられる壁紙の被写体はロック画面で時計の手前に配置され奥行きが感じられるデザインになるほか日付と時間の表示を様々なフォントスタイルや色からユーザーがカスタマイズ可能複数の写真をロック画面にシャッフル表示する事も可能天気予報をロック画面に指定すると雨や雷などをアニメーション表示できる地球月太陽系を表示するアストロノミーの壁紙も用意されるライブアクティビティ機能ではスポーツの試合ワークアウトライドシェアタクシーの相乗り出前の注文などリアルタイムの情報をロック画面上に表示する音楽再生操作も進化今までもロック画面で音楽の再生停止など基本的な操作は小さな音楽操作パネルから可能だったがiOS 16ではその操作パネルをロック画面内でより大きく表示しアルバムアートを大きく表示させながら音楽を楽しむことができるようになる空間オーディオもiOS 16で進化iPhoneに搭載しているTrueDepthカメラを使いユーザーの頭や耳の形状を測定しユーザーに最適化された空間オーディオを再生するためのプロファイルを作成可能になるというロック画面の通知も進化従来は画面上にズラッと通知が並び通知で背後の壁紙が見えない状況になったがiOS 16では通知を立体的に重ねてロールアップ表示可能になった通知を一日中非表示にする事も可能メッセージアプリも進化送信したメッセージを編集したり取り消す事が可能になるまたコンテンツを複数人で楽しめるSharePlayにメッセージが対応メッセージでチャットしながら映画や音楽などの同期されたコンテンツを一緒に楽しみ共有しながら再生コントロールする事ができる地図アプリも進化ナビゲート機能において最大15個までの経由点を設定できるようになりMacで細かな移動の予定を立ててそのルートをiPhoneに同期する事も可能交通機関の最新情報を通知したり旅費の確認ウォレットに交通機関カードを追加したり残高が少ないことを確認するといった機能も盛り込まれるCarPlayも刷新車のハードウェアと緊密に統合され車内にある複数の画面にコンテンツを表示できるようになるユーザーはラジオのコントロールや空調の変更などをCarPlayから直接行なえるほか車のデータを利用して速度燃料の残量気温などを計器類にシームレスに表示できるユーザーは様々な計器類のデザインを選択して車内表示をパーソナライズ可能ウィジェットへの対応が拡大され天気やミュージックなどの情報を車のダッシュボードで一目で確認できるようになる次世代のCarPlayに関する詳細情報は今後発表される予定対応車種については来年後半に発表が開始されるという
森保監督、右SB長友に舌を巻く,スポーツ, 国際親善試合日本01ブラジル6日国立競技場 35歳DF長友が奮闘した右サイドバックとして先発しブラジルのビニシウスレアルマドリードとマッチアップ欧州チャンピオンズリーグCLで決勝弾を決めた王国の新エース候補をきっちりと封じきり攻撃の芽を摘み続けた写真なんだこの身体能力はボールを追う長友とビニシウスがスゴすぎる ビニシウスは後半途中で交代試合後長友は非常に楽しめたなと相手が強くなればなるほど自分の形を自分の実力を発揮できると言ってましたけどやはりモチベーションもすごい高かったですしビニシウスには絶対にやられない仕事をさせないという強い気持ちで入ったのでみんなのサポートもあり彼にそこまでの仕事をさせなかったというその部分に関しては満足していますと胸を張った 試合前に相手が強ければ強いほど自分の力を発揮できると豪語していた35歳その言葉が本当なのか嘘なのかというところで自分自身追い込んだところもありますし今日ダメなら代表でもW杯に選ばれても厳しいなとそれくらい強い気持ちで臨んだそういった意味ではビニシウスとの一対一の部分やらせない部分守備の強度は見せられたと思いますまだまだ自分はやれるなと思わせてくれた感じさせてくれた試合になったと明かした 森保監督も佑都の右サイドというのは我々の戦いの中でまた1つオプションができた対人の強さというのはビニシウス選手が相手でも互角に戦っていた世界のトップトップで経験してきた彼の力はやはり高い国際レベルになったときに必要な世界で戦う上で必要な要素をみせてくれたと舌を巻いた W杯予選の段階では不要論も渦巻いていたベテランが反骨の輝きをみせた
東部要衝 ロシア軍が「焦土作戦」,国際,AFP時事ウクライナ東部ルガンスクLugansk州のセルヒーハイダイSergiy Gaiday知事は6日同州の要衝セベロドネツクSeverodonetskでウクライナ軍が再び劣勢に立たされていることを明らかにした同国軍は同市の一部地域をロシア軍から奪還していたが一進一退の攻防が続いている写真東部を視察したゼレンスキー大統領 ハイダイ氏はテレビ局オディンプリュスオディン11に対し反撃に転じたウクライナ軍が市の半分を奪還したものの現地では激戦が続いており状況はわれわれにとって悪化したと説明ロシア軍は撤退時に街を破壊する焦土作戦に出ており守るべきものは何も残っていないと語った 同時にセベロドネツクと隣接するリシチャンスクLysychanskへの砲撃も激化5日にリシチャンスクなどを視察していたウォロディミルゼレンスキーVolodymyr Zelensky大統領は6日首都キーウで記者団に対し同国軍はセベロドネツクで持ちこたえているもののロシア側は数と力で勝っていると説明両市はいずれも死んだ都市となったと述べた翻訳編集 AFPBB News
岩田剛典 やっぱり野心がないと,エンタメ, パフォーマー俳優などどんな役割も常にエンジン全開 見る者の心を捉えて離さない磨き上げた表現力は10年先の“あるべき姿”を描き俯瞰して分析する冷静さ消えることのない野心の炎が礎となっていた画像岩田さんの特撮カットをもっと見る 後ろは振り返らず前へ前へと走ってきた12年間だった人気アーティスト三代目 J SOUL BROTHERS from EXILE TRIBEのパフォーマーとしてデビューした4年後国民的グループのEXILEにもメンバー入りした岩田剛典さん当時褐色の肌をした屈強なメンバーたちに囲まれると細マッチョで甘い顔立ちの岩田さんはそれだけで新しい風異彩を放つ存在にも映ったあの頃に比べたら自分の言葉でしゃべれるようになったと思います変わりましたよね若いときは自分の意見を言うと角が立つのかなと考えたりしてなかなか意見を通せなかったんですこうしたインタビューに答えているときも“先輩がこれを読むかも”とか頭の片隅で思ったりもしていましたしね笑 パフォーマーとして魅せる腕を磨き前をゆく先輩たちに倣いながらいつしか自分ならではのできることを模索するようになったオリジナリティ個性へのこだわりは年を重ねるごとに増していく芸能界には自分の代わりなんていっぱいいるから勘違いしないほうがいいと活動していくなかで気づいていったんですファンの方にすごく応援してもらえること自分の実力とアーティストは思ってしまいがちだけど実はその肩書というのを丸裸にされたとき“お前何ができるの ”ということなので振り返れば若いときは人よりも目立たないと頭角を現さないと一生見つけられずに終わると必死でした 誰の目に触れることもなく埋もれて終わってしまう人になってしまうのではないかじんわりとまとわりつく恐怖を振り払うように岩田さんは自身を奮い立たせてきた従順にやっているだけじゃダメやっぱり野心がないと普通にやっていたら年を食って終了ですからね と自分に言い聞かせるように語る時間は限られているので長くやりたいならいろいろなものを吸収して身につけないと付け焼刃では太刀打ちできなくなっていくそうして身につけたものが自分の個性になっていくはずなんですよね僕は自分の色をつけるために俳優業を始めてへたくそなりにずっとやってきて今何とかここまでくることができましたという10年だったと思うんです間違いなく1個は持てたわけなのでそういうものをいくつ持てるかだよねという考え方でやっています
骨太の方針 初めて「台湾」明記へ,国内,自民党は6日の党政調全体会議で政府が示した経済財政運営の指針骨太の方針の修正案を了承した政府は7日に骨太方針を閣議決定する表でみる骨太の方針案のポイント6日に出された修正案は5月23日の日米首脳会談で両首脳が国際社会の安全と繁栄に不可欠な要素である台湾海峡の平和と安定の重要性を強調し両岸問題の平和的解決を促したと注釈で紹介する形をとった骨太方針に台湾が盛り込まれるのは初めてとなるこのほか令和5年度予算編成に向けた考え方として今回の方針と令和7年度の基礎的財政収支プライマリーバランスPB黒字化目標を明記した昨年の方針に基づき経済財政一体改革を着実に推進すると明記一方で重要な政策の選択肢をせばめることがあってはならないとも盛り込んだ
元ボイメン水野勝 独立し社長に,エンタメ, 名古屋発のダンスボーカルグループBOYS AND MEN通称ボイメンを5月末で卒業した水野勝31が7日に個人事務所の帆を上げる親交の深いヒップホップ歌手AK6943の公認のもとAKの楽曲タイトルを冠したSTART IT AGAINエンターテインメントを屋号にした勝負服はボイメン時代の学ランからスーツにそして肩書もリーダーから社長に変わった独立して新たなスタート地点に立つ水野に話を聞いた
