title,category,text
修学旅行の中学生 美術館作品破損,地域,新潟市教育委員会は6日市内の中学生が修学旅行で訪れた十日町市の美術館の作品を破損したと発表しました市教育委員会によりますと4月21日午前十日町市にある越後妻有里山現代美術館MonET内に展示されている作品2点を修学旅行のため美術館を訪れていた中学生が破損したということですこのうち1点は修復ができない状態だということです市教育委員会は今後再発防止策としてリスク管理や事前準備と生徒への事前指導を徹底するとしていますまたこの件を受けて美術館側は警察に被害届けを提出警察が捜査しています
G中田翔 今季2度目の登録抹消,スポーツ,プロ野球巨人は6日中田翔選手の登録を抹消しました中田選手が登録を外れるのは今季2度目交流戦は8試合に出場し打率2351本塁打3打点と思うような成績を残せていませんでした画像ジャイアンツにきてくれてありがとう巨人中田翔が逆転満塁ホームラン中田選手がスタメンを外れたここ6試合は一塁の先発に4年目の増田陸選手が起用され3日のロッテ戦では佐々木朗希投手から先制タイムリーを放つなど起用に応える働きを見せていました
「ユニーク給食」食材高騰で苦心,地域,長野県諏訪市の諏訪南中学校では自校給食の中で生徒に食育を行っていますしかし食材の価格高騰で献立を考える栄養教諭は苦心の日々おいしくて勉強にもなるユニーク給食を守ろうと奮闘しています
監視委 IRジャパンを強制調査,経済, 物言う株主への企業対応を行うコンサルティング会社アイアールジャパンIRジャパン東京の元副社長55が持ち株会社IRジャパンホールディングスHD株をめぐりインサイダー取引に関与した疑いがあるとして証券取引等監視委員会が金融商品取引法違反容疑で同社本社や元副社長宅などを強制調査していたことが6日関係者への取材で分かった  IRジャパンHDは同日元役員が嫌疑の対象となり調査に全面的に協力するとのコメントを出し外部弁護士による調査委員会を設置した監視委は元副社長から任意で聴取しており東京地検への告発も視野に株取引の経緯を調べている 
「蒲蒲線」35年開業目指す 羽田へ,経済,東京のJR東急蒲田駅と京急蒲田駅をつなぎ羽田空港まで伸ばす新空港線いわゆる蒲蒲線の整備計画について大田区が午後2時から臨時の記者会見を行ったその中で松原区長は事業費用の地方負担の割合について東京都が3割大田区が7割で合意したことを明らかにした総事業費は1360億円にのぼりそのうちの3分の1ずつを国と東京都大田区第三セクターが負担するという第三セクターは大田区と鉄道会社などが出資する会見で松原区長は区の悲願であります新空港線整備に向けて大きな第一歩を踏み出しましたと述べた2035年開業を目指すという蒲蒲線はおよそ800メートル離れたJR東急蒲田駅と京急蒲田駅を地下でつなぎ羽田空港に乗り入れる計画東急多摩川線矢口渡駅付近から多摩川線を地下化しそのままJR 東急蒲田駅京急蒲田駅を通り大鳥居駅の手前で京急空港線に入るという地下部分の整備区間はおよそ17キロ利用者は1日53万人が見込まれていて17年間かけて黒字に転換する予定これまで費用負担や東急と京急の線路幅ゲージの違いなどが蒲蒲線実現への課題とされてきた
原油先物価格 一時14年ぶりの高値,経済,東京の原油市場では原油の先物価格が上昇し一時およそ14年ぶりの高値をつけましたきょうの東京商品取引所で取引の中心となる中東産の原油先物価格が値上がりし一時1キロリットルあたり8万6000円をつけましたこれは2008年7月以来およそ13年11か月ぶりの高値水準です原油価格はEUがロシア産石油の禁輸を決めるなど経済制裁の影響で供給が不足することへの懸念から値上がりが続いていましたこうした中今月2日産油国などが加盟するOPECプラスが来月の生産量を増やすことを決めましたが増産の幅が少なかったことで原油不足への懸念がさらに高まりましたまた先週末に発表されたアメリカの雇用統計が市場予想を上回りアメリカの原油需要が堅調に推移するとみられることや中国でロックダウンが解除されたことも原油価格の上昇につながっています
5歳餓死 母親が起訴内容認める,地域, 福岡県篠栗ささぐり町で5歳の男児が餓死した事件で保護責任者遺棄致死罪に問われた母親の碇いかり利恵被告40の裁判員裁判の初公判が6日福岡地裁冨田敦史裁判長で始まった碇被告は起訴事実を認めた図表5歳児餓死事件の経緯
TVがいい? 代表戦放送のあり方は,スポーツ, サッカーのワールドカップW杯カタール大会2022年11月開幕で初のベスト8入りを狙う日本代表3月に7度目の本大会出場を決めた森保一監督率いるチームのアジア最終予選はアウェー戦の生中継が日本国内のテレビでは放送されずインターネット有料配信のDAZNダゾーンでしか視聴できなかった幅広い層が関心を寄せるサッカー日本代表戦は誰でも無料で視聴できるべきではないか――といった議論も活発化しているJリーグの前チェアマンで在任中にダゾーンと2017年シーズンから10年間の放映権契約を取り結んだ村井満氏62に意見を聞いた聞き手込山駿デジタル編集部動画JFA田嶋会長発言の思いは至極まっとう村井J前チェアマン語る
電力逼迫 5年ぶり閣僚会議開催へ,国内, 松野博一官房長官は6日午前の記者会見で電力需給の逼迫ひっぱくに備え近く節電や省エネ対策をとりまとめる関係閣僚会議を5年ぶりに開催すると明らかにした老朽火力発電所の休廃止増加などの影響で電力供給余力が不足し今夏と今冬に向けて電力需給の見通しが非常に厳しくなるためで企業や家庭にも対応を呼びかける写真3月の節電要請で灯りが消えた東京タワー 松野氏はこの夏はできる限りの節電省エネに取り組むこと電力需給がより厳しくなる冬に向けては夏以上の需要対策の準備を進めることが必要だと指摘した村尾哲
コンビニ店主に団体交渉権認めず,経済, コンビニ大手セブン―イレブンジャパンとフランチャイズFC契約を結ぶ店主らに憲法が保障する団体交渉権は認められるのか――この点が争われた訴訟で東京地裁布施雄士裁判長は6日団交権を認めない判決を言い渡した原告のコンビニ加盟店ユニオン岡山市は店主たちの待遇や店舗の経営改善のために団交権は必要だと訴えていた写真5メートル隣に仮設店セブン側が営業始める ユニオンは2009年にセブンに団体交渉を申し入れたが店主は独立した事業主で会社と労使関係にはないとして応じなかったユニオンは岡山県労働委員会に救済を申し立て同県労委は14年に店主は労働組合法上の労働者に当たり団体交渉の拒否は不当労働行為に該当するとしてセブンに交渉に応じるよう命じた これに対してセブンは中央労働委員会に不服を申し立て中労委は19年3月FC契約を結んだ店主たちの事業者性は顕著で独立した小売業者だと指摘セブンの事業組織に組み入れられているとまでは言えず労働組合法上の労働者には当たらないとして団交権を認めた岡山県労委の判断を取り消す命令を出した ユニオンは同年9月国を相手に中労委の命令を取り消すよう求めて東京地裁に提訴訴訟では店主はセブンの指導に従い商品を仕入れ決められた価格で販売を求められており独立した小売業者としての性格は失われていると主張した一方国は請求の棄却を求めていた遠藤浩二
